Target_X,Target_Y,Final_X,Final_Y,Error_m,NN_Steps,Total_Steps
0.03581,-0.03699,0.03577570305935887,-0.03828450877800384,0.0012949630328570475,34,207
0.01546,0.06318,0.014762270335347981,0.06256637069894945,0.000929175765957768,43,107
-0.00924,-0.07285,-0.009776837780559116,-0.07410618397485012,0.0013660867400373585,49,191
-0.01696,0.04152,-0.016014779270303526,0.040341571194309395,0.001510674246132939,30,120
-0.0587,-0.08066,-0.058707613086686566,-0.08157252500752894,0.0009125567645108999,67,212
-0.06579,-0.00729,-0.06568123689255831,-0.008512576173839577,0.0012274045438976484,44,201
0.00551,0.03435,0.005327976265774605,0.032728077262075855,0.0016321047783818005,23,121
-0.04942,-0.03063,-0.04945825029407195,-0.032022014300402635,0.0013925397292436667,39,167
0.00892,0.04713,0.00891576314887268,0.046698584281833995,0.00043143652231604534,32,91
-0.0181,-0.01955,-0.018506138744611517,-0.02054827505792361,0.0010777299156778588,18,73
0.03964,-0.02679,0.03835665291105949,-0.027444511812664784,0.0014406128777745345,32,173
0.08368,0.03993,0.0823601656294545,0.040195235598807416,0.0013462216342593712,62,232
-0.02378,-0.0426,-0.024560271957393,-0.04371868928826632,0.0013639245034736012,33,140
0.03119,0.0342,0.031786565723308347,0.035266032700801954,0.0012216040198875892,31,92
-0.08724,-0.04175,-0.08679923313397366,-0.04295176292597102,0.0012800427963256169,64,226
0.01484,-0.06713,0.014685724011331612,-0.06851602470000537,0.0013945843644988254,46,228
0.03286,0.08364,0.03150699025026553,0.08346486124317434,0.0013642979758905218,60,182
-0.02826,0.01307,-0.028071663730953007,0.012212940811632694,0.0008775084060015423,21,144
-0.06369,0.01339,-0.06308043855005185,0.012402756840509422,0.0011602647185982272,43,206
-0.03954,-0.07568,-0.039561651802985924,-0.07620232496647061,0.0005227735371755842,57,116
0.08083,0.05751,0.08079519724201023,0.057468899457318555,5.3856165593212984e-05,66,203
-0.03376,0.05372,-0.0334221964041966,0.05210934693674741,0.0016456957676018516,42,288
0.00078,0.09282,0.0008046389757790502,0.09108099512588501,0.0017391794132070263,62,333
-0.04136,0.01384,-0.041292593994041865,0.012749477940187496,0.0010926032823385325,29,152
-0.01159,0.06391,-0.01144414620531107,0.06220820795759679,0.0017080308794082258,43,291
0.04428,-0.02317,0.042762812613425114,-0.02236503791104419,0.00171750444850604,33,407
0.04287,-0.05093,0.04125598163089353,-0.050571052325495885,0.0016534505522830191,44,284
0.07047,0.02318,0.06986201610555433,0.023314445117348755,0.0006226715871824027,49,200
0.05144,-0.08571,0.051282314053805365,-0.08671144797365055,0.0010137864181158144,67,284
