Target_X,Target_Y,Final_X,Final_Y,Error_m,NN_Steps,Total_Steps
0.06454,-0.01927,0.06311997512294401,-0.018510087980035107,0.0016105703739809074,45,388
-0.00786,0.09326,-0.007835359461480942,0.0916573345803309,0.001602854829216178,62,394
0.03067,0.06376,0.030910965594065854,0.0644635262873789,0.0007436488785419236,47,252
0.06562,-0.06943,0.06414923065294115,-0.06885374544646783,0.0015796302677254846,64,345
-0.0351,-0.04186,-0.03537754671845924,-0.04257595695608424,0.0007678714370862467,36,227
0.04474,0.06394,0.04501432096983298,0.06453895498522541,0.0006587860569384283,52,241
-0.08466,-0.02139,-0.08544946904207114,-0.02243928925958235,0.0013131143585627262,58,251
-0.08664,-0.01673,-0.08750195476183123,-0.017709916692292618,0.0013050680960307206,59,266
-0.00107,0.00214,-0.0016645130384236925,0.0017612726282978113,0.0007048972797026661,2,63
0.01259,-0.00601,0.011407231635610209,-0.006128484820256659,0.0011886882082499833,9,106
0.04602,-0.08167,0.045945447020006,-0.0825143067844695,0.0008475919378611383,62,283
0.05182,0.01974,0.05201102403145008,0.020559888296936286,0.0008418473733667676,37,172
0.08854,-0.03066,0.08712253099546483,-0.029878007076628948,0.001618867292590818,62,455
-0.02915,0.00257,-0.030056417677299753,0.0015972954885306063,0.001329566497906138,20,112
0.00175,-0.02625,0.0014196292374817406,-0.027050259213467844,0.0008657711299570287,18,175
0.06055,0.06318,0.060989402745811216,0.06375157002666201,0.0007209487280000232,58,258
-0.06559,-0.02122,-0.06602181956265549,-0.022053611626536972,0.0009388165308459358,46,244
0.03581,-0.03699,0.03439512271583158,-0.03621540271817972,0.001613033997862158,34,428
0.01546,0.06318,0.015569186615397131,0.06478155364759929,0.0016052712553087272,43,327
-0.00924,-0.07285,-0.009535436922141385,-0.07369906062849307,0.0008989921722803996,49,261
-0.01696,0.04152,-0.016882465587642226,0.03992020748869503,0.0016016702732857154,30,301
-0.0587,-0.08066,-0.05890462093536084,-0.0813653323391657,0.0007344136680787613,67,277
-0.06579,-0.00729,-0.06637397573572867,-0.008075705640453755,0.0009789591479529116,44,238
0.00551,0.03435,0.006086886395426579,0.034402825405165816,0.000579299953960989,23,120
-0.04942,-0.03063,-0.04979731753189122,-0.03140421489782841,0.0008612648999535125,39,239
0.00892,0.04713,0.009349634820195263,0.04606484755030158,0.001148536381584299,32,126
-0.0181,-0.01955,-0.018786458637610328,-0.020128053339075566,0.0008974247177152162,18,221
0.03964,-0.02679,0.0382548189501813,-0.026016580410419602,0.0015864754654023364,32,432
0.08368,0.03993,0.08419042863779946,0.04068815323631909,0.0009139659315460926,62,208
-0.02378,-0.0426,-0.02412118935080674,-0.043254540721955205,0.0007381285320332544,33,213
0.03119,0.0342,0.031448770539179216,0.034755613059162055,0.0006129176645019447,31,189
-0.08724,-0.04175,-0.08770861176464334,-0.042847773566742575,0.001193609563383629,64,247
0.01484,-0.06713,0.014639046969953202,-0.06812160187144316,0.0010117590581430796,46,246
0.03286,0.08364,0.03293652820726234,0.0845850980474823,0.0009481913761797347,60,229
-0.02826,0.01307,-0.029092700436386214,0.012874592291981533,0.0008553211029261594,21,134
-0.06369,0.01339,-0.0639240097774047,0.012534759636543073,0.0008866773117695845,43,195
-0.03954,-0.07568,-0.03984945700888598,-0.07642493359256203,0.0008066533937671318,57,256
0.08083,0.05751,0.08116709189561704,0.05805830594081788,0.00064363836960429,66,255
-0.03376,0.05372,-0.03359184015053982,0.052161932027099234,0.0015671163144928212,42,288
0.00078,0.09282,0.0007897118071639702,0.0912102963632437,0.0016097329335591239,62,407
-0.04136,0.01384,-0.041558049538922406,0.013293198123074244,0.0005815633348801371,29,171
-0.01159,0.06391,-0.010920267303710332,0.0637423487204786,0.0006903975926990111,43,187
0.04428,-0.02317,0.04270233142815401,-0.022286587529450716,0.0018081636307902445,33,433
0.04287,-0.05093,0.04162595397017938,-0.050823214369188394,0.001248620717135621,44,278
0.07047,0.02318,0.0704781819108529,0.02387678418162728,0.000696832217561161,49,168
0.05144,-0.08571,0.05144304425581126,-0.08673599272032313,0.0010259972366675832,67,266
