Target_X,Target_Y,Final_X,Final_Y,Error_m,Active_Steps
-0.00625,0.05582,-0.0021083754382990234,0.05427463246899742,0.004420544628884752,37
0.04301,-0.01613,0.03471365687571629,-0.01888214407495526,0.008740915641119127,31
-0.037,0.08599,-0.025827154565002574,0.08072367552597647,0.012351787262580344,62
-0.06417,0.04937,-0.05694766441706337,0.04076103371102735,0.011237278666884617,54
-0.09245,0.02445,-0.08136731969435765,0.015256986444874323,0.01439921181807523,64
0.00109,0.05145,0.002784350422879145,0.04880846160448525,0.0031382397057091393,34
-0.00599,0.07468,-0.00440869149374466,0.06799634650009587,0.006868170112827449,50
0.06124,-0.04578,0.05255476964660222,-0.04632411298713329,0.008702257479203274,51
0.01211,0.06203,0.008094377352279764,0.05844504525105373,0.0053830405721001316,42
-0.0997,-0.00597,-0.08469218284552531,-0.008356384299964768,0.015196361596423767,67
0.02884,0.0088,0.02070963216071739,0.008148989330836652,0.008156389893415194,20
-0.02305,-0.02377,-0.02072928255198593,-0.02387671567290684,0.002323169754529552,22
-0.07856,0.04181,-0.07420145864037525,0.034021656354357666,0.00892497504344841,59
-0.01855,0.01707,-0.013638422921899974,0.011594147747357396,0.007355851227892572,17
-0.09814,-0.01816,-0.0932287382530883,-0.024075392661555405,0.007688456430718828,67
0.06319,-0.07562,0.05500289976659043,-0.08196835295827716,0.010360028741020039,66
-0.00196,-0.01053,-0.0030505418390715192,-0.009681716959322972,0.001381617030825024,7
-0.08035,-0.01901,-0.06647819971538735,-0.016577593383548965,0.014083445781623705,55
-0.03269,-0.04,-0.033928958422164396,-0.03765715990882604,0.0026502674704006993,34
-0.03063,0.01331,-0.03880458795088477,0.01191562571022039,0.008292657464694222,22
0.06454,-0.01927,0.06003271922933521,-0.02435407219861448,0.00679436310969095,45
-0.00786,0.09326,-0.012593079083545216,0.09037245994848173,0.005544359761073893,62
0.03067,0.06376,0.026940708879347807,0.06721455907571201,0.005083462468648661,47
0.06562,-0.06943,0.06402922037132758,-0.07943484079424531,0.01013051919425625,64
-0.0351,-0.04186,-0.020959047464491454,-0.039630446304009755,0.014315636496321402,36
0.04474,0.06394,0.06416061438911998,0.04813557802510174,0.025038770281536206,52
-0.08466,-0.02139,-0.08551551904562867,-0.02198430158682489,0.0010416847956728397,58
-0.08664,-0.01673,-0.09314535685661557,-0.015931225079930098,0.006554213088147801,59
-0.00107,0.00214,-0.001945489019983991,0.00047153273427563664,0.0018842144360200254,2
0.01259,-0.00601,0.01784916361787999,-0.014333834539450637,0.009846066392208818,9
0.04602,-0.08167,0.048224048468699925,-0.08347597295480906,0.0028494504673498423,62
0.05182,0.01974,0.05251392514181455,0.018819316049246856,0.0011529054773123269,37
0.08854,-0.03066,0.08905887974666167,-0.03992571373110386,0.009280230985178241,62
-0.02915,0.00257,-0.024080275582213304,0.0030210468297984967,0.005089749396087583,20
0.00175,-0.02625,-0.0009478973582033805,-0.032081125488907174,0.00642500386169407,18
0.06055,0.06318,0.06481612424530399,0.07283651267747307,0.010556896000556633,58
-0.06559,-0.02122,-0.06557452705901029,-0.019667104884090174,0.0015529721996608507,46
0.03581,-0.03699,0.034105421096691825,-0.03946917579486218,0.0030086378744265336,34
0.01546,0.06318,0.018147612410760353,0.06367335913745381,0.002732519663055007,43
-0.00924,-0.07285,-0.017324179206212886,-0.06538487547384012,0.0110037283513016,49
-0.01696,0.04152,-0.01933287399181019,0.039938103040276667,0.0028518290573228892,30
-0.0587,-0.08066,-0.04371261614110659,-0.09244777557490517,0.019067598903326818,67
-0.06579,-0.00729,-0.05124467950903637,-0.005959227836220836,0.01460607074940882,44
0.00551,0.03435,-5.1880075764025565e-05,0.026444642239678188,0.009665877678507066,23
-0.04942,-0.03063,-0.05317822311491831,-0.033320431004189396,0.004621975764736315,39
0.00892,0.04713,0.012826190465785864,0.048841992195123564,0.00426488466797877,32
-0.0181,-0.01955,-0.016310242430677704,-0.018976744387074165,0.0018793227915122601,18
0.03964,-0.02679,0.03663897452127816,-0.030017250929902452,0.004406960686061757,32
0.08368,0.03993,0.08118906474014935,0.033630437161216054,0.006774160496220539,62
-0.02378,-0.0426,-0.025702259321894648,-0.04650193630587877,0.004349734225874694,33
0.03119,0.0342,0.03847745347383315,0.029725173670363363,0.008551669358300294,31
-0.08724,-0.04175,-0.0773934902134656,-0.04840755047835908,0.011885988951207084,64
0.01484,-0.06713,0.014961771775182105,-0.07036235900547756,0.0032346519295780385,46
0.03286,0.08364,0.0330643566786322,0.07730933646900373,0.0063339610351491596,60
-0.02826,0.01307,-0.03159633641840865,0.012511062954649772,0.0033828318488309025,21
-0.06369,0.01339,-0.07534434272974617,0.006580086584042017,0.01349809709534022,43
-0.03954,-0.07568,-0.04035701219923805,-0.07795037917126976,0.00241290913940815,57
0.08083,0.05751,0.08305170926361252,0.05479290898702101,0.003509782845822929,66
-0.03376,0.05372,-0.016600602238673497,0.050400090204871795,0.01747760660328539,42
0.00078,0.09282,-0.001371798064249705,0.09092980686239474,0.0028640993360494306,62
-0.04136,0.01384,-0.05280911206753067,0.006886742183851968,0.013395146934345289,29
-0.01159,0.06391,-0.012707336810537245,0.06257518631997971,0.0017407380930372113,43
0.04428,-0.02317,0.04812440261606456,-0.028128656049639,0.006274368597159834,33
0.04287,-0.05093,0.04492370964888538,-0.051067031855555875,0.0020582762330071274,44
0.07047,0.02318,0.07006351520196462,0.016071241747811917,0.007120370340023476,49
0.05144,-0.08571,nan,nan,nan,67
